nivel,codigo_etapa1,codigo_etapa2,nome_etapa1,nome_etapa2
assunto,ALG_LIN_02,ALG_LIN_01,Espaços Vetoriais,Espaços Vetoriais
subassunto,ALG_LIN_02_004,ALG_LIN_01_001,"Espaços Vetoriais, Subespaços, Base e Dimensão","Espaços Vetoriais, Subespaços, Base e Dimensão"
subassunto,ALG_LIN_02_006,ALG_LIN_01_002,Produto Interno e Ortogonalidade,Produto Interno e Ortogonalidade
assunto,ALG_LIN_03,ALG_LIN_02,Matrizes e Determinantes,Matrizes e Determinantes
subassunto,ALG_LIN_03_001,ALG_LIN_02_001,Determinantes,Determinantes
subassunto,ALG_LIN_03_003,ALG_LIN_02_002,Operações com Matrizes e Matriz Inversa,Operações com Matrizes e Matriz Inversa
assunto,ALG_LIN_04,ALG_LIN_03,Sistemas Lineares,Sistemas Lineares
subassunto,ALG_LIN_04_001,ALG_LIN_03_001,"Classificação, Posto e Sistemas Homogêneos","Classificação, Posto e Sistemas Homogêneos"
subassunto,ALG_LIN_04_003,ALG_LIN_03_002,Resolução de Sistemas Lineares,Resolução de Sistemas Lineares
assunto,ALG_LIN_05,ALG_LIN_04,Transformações Lineares,Transformações Lineares
subassunto,ALG_LIN_05_004,ALG_LIN_04_001,"Autovalores, Autovetores e Diagonalização","Autovalores, Autovetores e Diagonalização"
subassunto,ALG_LIN_05_001,ALG_LIN_04_002,Imagem e Núcleo,Imagem e Núcleo
subassunto,ALG_LIN_05_002,ALG_LIN_04_003,Matriz de Transformação,Matriz de Transformação
subassunto,ALG_LIN_05_003,ALG_LIN_04_004,Propriedades de Transformações Lineares,Propriedades de Transformações Lineares
assunto,CAL_DIF_01,CAL_DIF_01,Cálculo Multivariável e Vetorial,Cálculo Multivariável e Vetorial
subassunto,CAL_DIF_01_001,CAL_DIF_01_001,Campos Vetoriais e Campos Conservativos,Campos Vetoriais e Campos Conservativos
subassunto,CAL_DIF_01_003,CAL_DIF_01_002,Extremos e Otimização,Extremos e Otimização
subassunto,CAL_DIF_01_005,CAL_DIF_01_003,Integrais Múltiplas,Integrais Múltiplas
assunto,CAL_DIF_02,CAL_DIF_02,Derivadas,Derivadas
subassunto,CAL_DIF_02_001,CAL_DIF_02_001,Aplicações da Derivada,Aplicações da Derivada
subassunto,CAL_DIF_02_002,CAL_DIF_02_002,Derivação Implícita,Derivação Implícita
subassunto,CAL_DIF_02_003,CAL_DIF_02_003,Derivadas de Funções Elementares,Derivadas de Funções Elementares
subassunto,CAL_DIF_02_005,CAL_DIF_02_004,Regra da Cadeia,Regra da Cadeia
assunto,CAL_DIF_03,CAL_DIF_03,Equações Diferenciais Ordinárias,Equações Diferenciais Ordinárias
subassunto,CAL_DIF_03_001,CAL_DIF_03_001,EDOs de Primeira Ordem,EDOs de Primeira Ordem
subassunto,CAL_DIF_03_002,CAL_DIF_03_002,EDOs de Segunda Ordem,EDOs de Segunda Ordem
subassunto,CAL_DIF_03_003,CAL_DIF_03_003,Equações Diferenciais Lineares,Equações Diferenciais Lineares
subassunto,CAL_DIF_03_005,CAL_DIF_03_004,Transformada de Laplace,Transformada de Laplace
assunto,CAL_DIF_04,CAL_DIF_04,Integrais,Integrais
subassunto,CAL_DIF_04_001,CAL_DIF_04_001,Aplicações da Integral,Aplicações da Integral
subassunto,CAL_DIF_04_002,CAL_DIF_04_002,Integrais Definidas,Integrais Definidas
subassunto,CAL_DIF_04_004,CAL_DIF_04_003,Integrais Indefinidas,Integrais Indefinidas
subassunto,CAL_DIF_04_005,CAL_DIF_04_004,Métodos de Integração,Métodos de Integração
assunto,CAL_DIF_05,CAL_DIF_05,Limites e Continuidade,Limites e Continuidade
subassunto,CAL_DIF_05_003,CAL_DIF_05_001,Limites e Continuidade,Cálculo de Limites e Continuidade de Funções
subassunto,CAL_DIF_05_002,CAL_DIF_05_002,Indeterminações,Indeterminações
